Country;Average Salary
Switzerland;5840.44
Qatar;5314.95
Singapore;4619.45
United States;4145.13
Australia;4114.14
United Arab Emirates;3670.71
New Zealand;3441.54
Denmark;3420.77
Norway;3411.33
Netherlands;3258.91
Bahrain;3217.55
Iceland;3159.29
Canada;3105.75
Hong Kong;2994.43
Germany;2875.67
Ireland;2812.65
United Kingdom;2773.25
Kuwait;2651.02
Israel;2650.24
Sweden;2639.68
Finland;2637.31
Japan;2540.15
Belgium;2466.16
France;2414.8
Austria;2320.41
Saudi Arabia;2251.76
South Korea;2217.88
Spain;1776.58
Puerto Rico;1696.45
Italy;1553.82
Taiwan;1504.73
Czech Republic;1451.28
Cyprus;1352.32
Estonia;1303.52
Malta;1293.25
South Africa;1276.56
Slovenia;1247.4
Lithuania;1106.58
China;1090.72
Poland;1036.72
Portugal;1029.51
Slovakia;997.53
Croatia;983.88
Latvia;981.52
Malaysia;877.85
Greece;840.64
Uruguay;828.22
Hungary;797.19
Trinidad And Tobago;784.09
Costa Rica;781.7
Bulgaria;756.16
Russia;756.0
Iraq;747.29
Romania;746.77
Palestine;742.26
Panama;741.03
Mexico;668.53
Lebanon;642.91
Jordan;640.2
Montenegro;625.09
Chile;607.15
Bosnia And Herzegovina;594.93
Jamaica;580.24
Serbia;573.18
India;552.31
Thailand;529.32
Mauritius;500.48
Ecuador;496.05
Belarus;491.87
Guatemala;486.39
Armenia;486.1
Bolivia;456.19
Kazakhstan;437.75
Vietnam;436.39
Argentina;430.81
El Salvador;415.0
Kosovo (Disputed Territory);414.1
North Macedonia;410.4
Peru;406.27
Albania;401.08
Kenya;398.81
Ukraine;397.48
Moldova;392.29
Iran;391.28
Brazil;382.45
Dominican Republic;374.39
Morocco;368.39
Azerbaijan;358.65
Indonesia;340.57
Turkey;325.87
Philippines;297.28
Uzbekistan;286.56
Libya;286.23
Colombia;283.49
Tunisia;275.62
Algeria;263.1
Bangladesh;247.79
Nepal;194.42
Venezuela;181.03
Egypt;170.78
Nigeria;162.46
Pakistan;161.16
Ghana;153.77
Sri Lanka;145.47
